secucode,name,industry,quote_time,latest_date,price,pct,amount,turnover,volume_ratio,main_net,industry_avg_pct,industry_adv_ratio,industry_amount,close_pos,upper_shadow,samples,win_rate,avg_return,median_return,profit_factor,max_drawdown,worst_return,worst_sample_date,worst_hold_drawdown,stop_loss,stop_risk,target_low,target_high,reward_risk,buy_low,buy_high,formal,reject_reason,score,rechecked,recheck_price,recheck_time,recheck_reject_reason,risk_tier,action_tier,attack_mode_score,attack_mode_preferred,attack_mode_reason
000933.SZ,神火股份,工业金属,,2026-07-06,22.52,0.0209,1400016714.12,2.77,0.94,50354535.0,-0.012443103448275861,0.3275862068965517,62006483751.31,0.6046511627906975,0.3953488372093024,120,0.575,0.009435749139366945,0.011830711234612958,1.399299347866406,-0.34334566427805024,-0.1701590604026845,2026-03-12,-0.17643229166666663,21.59249759286517,0.04118571967739038,22.786427617003483,23.65454828940568,1.2232294824015,22.45244,22.587559999999996,False,,26.793555683919728,False,0.0,,,进取,进取研究,0.7974079725735734,False,attack_checks_failed
300308.SZ,中际旭创,通信设备,,2026-07-06,1098.92,-0.015300000000000001,34704124551.28,2.84,1.02,-2667442688.0,-0.024461176470588236,0.17647058823529413,188572067489.88998,0.47830399206546137,0.5216960079345386,120,0.6166666666666667,0.03951002518355907,0.021605614921231222,2.9242853785509206,-0.3482570515004263,-0.17043446490911277,2025-09-29,-0.17419044179607568,1042.9001832234928,0.050977156459530416,1122.6628423492393,1180.17713215534,1.4505069247105502,1095.6232400000001,1102.21676,False,weak_tail_position,91.17421781740472,False,0.0,,,观察,观察,9.746266827728988,False,attack_checks_failed
300666.SZ,江丰电子,半导体,,2026-07-06,326.86,-0.016,5683938360.05,7.84,0.68,-219835312.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.4988990248505821,0.501100975149418,120,0.625,0.04779141683940048,0.02131140514403659,3.721060628567297,-0.2298888941333077,-0.12067886453063517,2026-03-16,-0.12654454541083715,305.6141,0.065,333.8258458853798,347.0028651083343,0.9480824586548116,325.87942000000004,327.84058,False,stop_risk_gt_expected_reward;weak_tail_position,58.464558004293124,False,0.0,,,观察,观察,16.920291378197604,False,attack_checks_failed
600584.SH,长电科技,半导体,,2026-07-06,95.09,0.0463,19748583547.0,11.65,0.79,128284416.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.5997150997151,0.40028490028490005,120,0.5333333333333333,0.02195209722735792,0.009834622267476192,2.0684396718421802,-0.49862170479396506,-0.14741171960569557,2026-03-16,-0.16159404423034818,88.90915000000001,0.065,96.02517423141431,98.88651591281818,0.6142384806002721,94.80473,95.37526999999999,False,win_rate_lt_55;stop_risk_gt_expected_reward,57.24250924942938,False,0.0,,,观察,观察,-2.6593314402636397,False,attack_checks_failed
688012.SH,中微公司,半导体,,2026-07-06,420.0,0.015300000000000001,12365069129.0,3.19,0.8,195520576.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.780011325028313,0.21998867497168695,120,0.5416666666666666,0.03318782631980537,0.005995151167759473,2.4635621140966193,-0.39447441190094934,-0.1625130150244263,2026-05-25,-0.16582173472209427,392.70000000000005,0.065,422.51796349045895,442.29308438674406,0.8165964976829339,418.74,421.25999999999993,False,win_rate_lt_55;stop_risk_gt_expected_reward,55.909305209487506,False,0.0,,,观察,观察,2.9843047608494473,False,attack_checks_failed
603629.SH,利通电子,消费电子,,2026-07-06,172.9,0.0378,3361404368.0,7.64,0.67,103612720.0,-0.024791011235955056,0.24719101123595505,92830893530.03,0.8077709611451948,0.19222903885480525,120,0.6583333333333333,0.05004081984841044,0.027550975997761764,3.5679346400360528,-0.36640696263188954,-0.30625958487176924,2026-06-04,-0.31144596347669884,161.66150000000002,0.065,177.663563750013,186.90856333333332,1.2464798089899305,172.3813,173.41869999999997,False,,55.65266387447198,True,172.9,,,观察,观察,-3.4682087767697345,False,attack_checks_failed
300179.SZ,四方达,通用设备,,2026-07-06,57.42,0.0507,3550032786.5,16.39,0.93,79631168.0,-0.022262272727272728,0.23636363636363636,116487098257.19,0.48387096774193583,0.5161290322580642,120,0.6666666666666666,0.06075157465215491,0.039345898815348744,3.560371028803991,-0.5333479512345196,-0.1954690962099124,2025-12-09,-0.20903954802259883,53.68770000000001,0.065,59.67924150997733,63.769969384615365,1.70135556750941,57.24774,57.592259999999996,False,weak_tail_position,54.11162336009852,False,0.0,,,观察,观察,9.715910832119071,False,attack_checks_failed
688347.SH,华虹宏力,半导体,,2026-07-06,309.68,0.0866,7938697322.0,6.49,1.13,477988096.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.7429286608260329,0.2570713391739671,120,0.575,0.04828841510316286,0.023754831219548214,2.5875661811410726,-0.5219312258277753,-0.18064904601571266,2026-03-16,-0.19644171779141106,289.55080000000004,0.065,317.0363961320697,338.72825173487024,1.4430902238971386,308.75096,310.60904,False,,54.01360702358063,True,309.68,,,观察,观察,5.4637745115316285,False,attack_checks_failed
603078.SH,江化微,电子化学品Ⅱ,,2026-07-06,57.7,0.0256,3566284749.0,16.68,0.87,30200064.0,-0.023262857142857144,0.2571428571428571,65969844145.97,0.7896592244418333,0.21034077555816663,120,0.5916666666666667,0.041692886806693516,0.007036019874860545,3.30875758878574,-0.24046624990095045,-0.13799313082499123,2026-01-27,-0.16189161201242652,53.94950000000001,0.065,58.10597834677945,60.10567956874622,0.6414290277952849,57.526900000000005,57.873099999999994,False,stop_risk_gt_expected_reward,52.23788868033224,False,0.0,,,观察,观察,10.626212195831048,False,attack_checks_failed
301369.SZ,联动科技,半导体,,2026-07-06,224.18,0.0355,588351262.17,4.75,0.97,15716146.0,-0.005337931034482758,0.3850574712643678,516206970979.27,0.48820960698689975,0.5117903930131003,120,0.6583333333333333,0.04458552990964406,0.031567389366468156,3.643328408124462,-0.27288941017840795,-0.12110489787623205,2026-01-20,-0.14963325183374088,209.6083,0.065,231.2567773481748,240.91026146877124,1.1481338120309394,223.50746,224.85253999999998,False,weak_tail_position,50.075171197755225,False,0.0,,,观察,观察,16.744050795334978,False,attack_checks_failed
