secucode,name,tradable,status,reject_reason,rank_score,latest_date,latest_close,benchmark_code,ma60,ma120,ma200,distance_ma200,stock_return_120d,benchmark_return_120d,excess_return_120d,stock_return_240d,benchmark_return_240d,excess_return_240d,drawdown_120d,volatility_120d,buy_zone_low,buy_zone_high,initial_stop_loss,trend_stop_price,relative_exit_excess,position_hint,tags
688057.SH,金达莱,False,ok,volatility_120d 43.34% > 42.00%,83.079935,2026-07-06,17.19,000300.SH,13.547666666666666,13.142,12.85465,0.33725927971590064,0.40671031096563004,0.0458018894413319,0.36090842152429814,0.42066115702479356,0.2109692505846017,0.20969190644019187,-0.019954389965792352,0.43338513257102024,16.674300000000002,17.7057,15.127200000000002,12.4690105,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
002648.SZ,卫星化学,False,ok,volatility_120d 54.79% > 42.00%,83.074757,2026-07-06,24.7,000300.SH,25.42256666666667,24.26786666666667,21.546819999999997,0.14634085215358938,0.4376345963564401,0.0458018894413319,0.3918327069151082,0.4418305994979861,0.2109692505846017,0.2308613489133844,-0.17283413147583804,0.5479003830732433,23.959,25.441,21.736,20.900415399999996,-0.06,0.0,"long_term_hold,strong_relative"
002838.SZ,道恩股份,False,ok,volatility_120d 48.46% > 42.00%,83.057782,2026-07-06,32.66,000300.SH,32.454883333333335,29.655858333333335,27.645464999999998,0.18138725465460603,0.36134383727231034,0.0458018894413319,0.31554194783097844,0.7836273278357271,0.2109692505846017,0.5726580772511254,-0.14527230378686773,0.4845660357163901,31.680199999999996,33.639799999999994,28.740799999999997,26.816101049999997,-0.06,0.0,"long_term_hold,strong_relative"
605208.SH,永茂泰,False,ok,volatility_120d 43.08% > 42.00%,83.039907,2026-07-06,17.19,000300.SH,14.985666666666667,14.147,14.116900000000001,0.21768943606599178,0.27144970414201186,0.0458018894413319,0.22564781470067996,0.33774319066147873,0.2109692505846017,0.12677394007687703,-0.012068965517241237,0.43082690384642003,16.674300000000002,17.7057,15.127200000000002,13.693393,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
603867.SH,新化股份,False,ok,volatility_120d 52.57% > 42.00%,83.021873,2026-07-06,36.09,000300.SH,36.47166666666667,33.34866666666667,31.399,0.14939966240963098,0.4436000000000002,0.0458018894413319,0.3977981105586683,0.4528985507246379,0.2109692505846017,0.24192930014003622,-0.17186782927948585,0.5256657148138546,35.0073,37.172700000000006,31.759200000000003,30.45703,-0.06,0.0,"long_term_hold,strong_relative"
300560.SZ,中富通,False,ok,volatility_120d 61.21% > 42.00%,83.021722,2026-07-06,20.0,000300.SH,17.530166666666666,16.851583333333334,16.4304,0.2172558184828124,0.2376237623762376,0.0458018894413319,0.1918218729349057,0.48698884758364325,0.2109692505846017,0.27601959699904155,-0.11426040744021249,0.6120977012748754,19.4,20.6,17.6,15.937487999999998,-0.06,0.0,"long_term_hold,strong_relative"
603257.SH,中国瑞林,False,ok,ma120_not_above_ma200; volatility_120d 50.28% > 42.00%,83.009547,2026-07-06,80.17,000300.SH,64.331,62.31466666666667,62.530249999999995,0.28209946385949203,0.3634353741496599,0.0458018894413319,0.317633484708328,0.5491787439613527,0.2109692505846017,0.338209493376751,-0.06605312208760483,0.5027562532581313,77.7649,82.5751,70.5496,60.65434249999999,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
300969.SZ,恒帅股份,False,ok,volatility_120d 62.07% > 42.00%,82.98462,2026-07-06,112.1,000300.SH,100.10571666666667,98.80239166666667,89.78691500000001,0.2485115453627067,0.2723166150249128,0.0458018894413319,0.22651472558358088,1.428667374396083,0.2109692505846017,1.2176981238114812,-0.09362139085859367,0.6207047374259288,108.737,115.463,98.648,87.09330755,-0.06,0.0,"long_term_hold,strong_relative,shallow_drawdown"
688710.SH,益诺思,False,ok,volatility_120d 69.25% > 42.00%,82.970869,2026-07-06,64.02,000300.SH,63.37533333333333,61.318583333333336,54.674800000000005,0.17092335042835072,0.45005662514156275,0.0458018894413319,0.40425473570023085,0.6834078359190112,0.2109692505846017,0.4724385853344095,-0.15607698391774327,0.6924558595130627,62.099399999999996,65.9406,56.337599999999995,53.034556,-0.06,0.0,"long_term_hold,strong_relative"
688248.SH,南网科技,False,ok,volatility_120d 61.51% > 42.00%,82.891891,2026-07-06,63.7,000300.SH,58.5975,57.50233333333333,53.96245,0.18045047991705365,0.4237818506928923,0.0458018894413319,0.3779799612515604,0.8793332349904115,0.2109692505846017,0.6683639844058098,-0.15066666666666662,0.6151305863235208,61.789,65.611,56.056000000000004,52.3435765,-0.06,0.0,"long_term_hold,strong_relative"
